GRAND_ID: 7236
DAM_NAME: 105.489728
LONG: 105.489728
LAT: 24.821601
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.12
2.0;0.02;0.27
3.0;0.03;0.41
4.0;0.04;0.58
5.0;0.06;0.76
6.0;0.08;0.96
7.0;0.08;1.16
8.0;0.09;1.38
9.0;0.1;1.59
10.0;0.11;1.83
11.0;0.12;2.06
12.0;0.13;2.32
13.0;0.15;2.59
14.0;0.15;2.87
15.0;0.15;3.14
16.0;0.2;3.46
17.0;0.2;3.78
18.0;0.2;4.1
19.0;0.21;4.44
20.0;0.23;4.79
21.0;0.24;5.16
22.0;0.25;5.53
23.0;0.26;5.91
24.0;0.28;6.32
25.0;0.29;6.73
26.0;0.31;7.16
27.0;0.32;7.59
28.0;0.36;8.08
29.0;0.38;8.58
30.0;0.41;9.11
31.0;0.41;9.64
32.0;0.47;10.23
33.0;0.48;10.84
34.0;0.52;11.49
35.0;0.55;12.16
36.0;0.67;12.95
37.0;0.79;13.87
38.0;0.91;14.9
39.0;0.94;15.97
40.0;1.15;17.25
41.0;1.18;18.55
42.0;1.3;19.97
43.0;1.38;21.47
44.0;1.52;23.11
45.0;1.63;24.87
46.0;1.8;26.79
47.0;1.85;28.77
48.0;2.15;31.04
49.0;2.2;33.37
50.0;2.37;35.86
51.0;2.47;38.45
52.0;2.73;41.3
53.0;2.94;44.36
54.0;3.23;47.72
55.0;3.23;51.07
56.0;3.69;54.89
57.0;3.8;58.81
58.0;4.16;63.1
59.0;4.27;67.49
60.0;4.76;72.37
61.0;5.0;77.49
62.0;5.44;83.05
63.0;5.5;88.67
64.0;5.97;94.76
65.0;6.16;101.04
66.0;6.6;107.76
67.0;6.74;114.62
68.0;7.16;121.9
69.0;7.36;129.38
70.0;7.8;137.3
71.0;7.8;145.22
72.0;8.31;153.66
73.0;8.45;162.23
74.0;8.95;171.3
75.0;8.95;180.38
76.0;9.58;190.08
77.0;9.64;199.84
78.0;10.27;210.23
79.0;10.27;220.62
80.0;10.99;231.73
81.0;11.21;243.07
82.0;11.88;255.08
83.0;11.88;267.08
84.0;12.69;279.89
85.0;12.76;292.78
86.0;13.52;306.42
87.0;13.52;320.06
88.0;14.09;334.27
89.0;14.3;348.69
90.0;14.86;363.67
91.0;14.86;378.65
92.0;15.46;394.23
93.0;15.51;409.86
94.0;16.03;426.01
95.0;16.03;442.17
96.0;16.51;458.8
