GRAND_ID: 7258
DAM_NAME: 79.452383
LONG: 79.452383
LAT: 36.825877
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.12
2.0;0.02;0.25
3.0;0.04;0.4
4.0;0.06;0.56
5.0;0.07;0.74
6.0;0.09;0.93
7.0;0.11;1.15
8.0;0.12;1.37
9.0;0.13;1.61
10.0;0.14;1.86
11.0;0.16;2.13
12.0;0.17;2.41
13.0;0.19;2.71
14.0;0.2;3.01
15.0;0.22;3.34
16.0;0.23;3.68
17.0;0.27;4.05
18.0;0.28;4.43
19.0;0.31;4.85
20.0;0.33;5.28
21.0;0.35;5.74
22.0;0.36;6.21
23.0;0.4;6.71
24.0;0.43;7.24
25.0;0.45;7.8
26.0;0.46;8.37
27.0;0.49;8.96
28.0;0.51;9.58
29.0;0.53;10.22
30.0;0.55;10.88
31.0;0.58;11.56
32.0;0.59;12.26
33.0;0.66;13.02
34.0;0.69;13.82
35.0;0.73;14.66
36.0;0.76;15.53
37.0;0.8;16.44
38.0;0.84;17.38
39.0;0.89;18.38
40.0;0.93;19.42
41.0;0.98;20.51
42.0;1.08;21.69
43.0;1.18;22.98
44.0;1.21;24.31
45.0;1.32;25.74
46.0;1.41;27.26
47.0;1.52;28.88
48.0;1.58;30.57
49.0;1.67;32.34
50.0;1.75;34.2
51.0;1.84;36.15
52.0;1.91;38.16
53.0;2.0;40.27
54.0;2.09;42.46
55.0;2.22;44.79
56.0;2.3;47.2
57.0;2.65;49.96
58.0;2.9;52.97
59.0;3.27;56.35
60.0;3.5;59.96
61.0;3.82;63.89
62.0;4.03;68.02
63.0;4.32;72.45
64.0;4.47;77.02
65.0;4.71;81.83
66.0;4.95;86.89
67.0;5.2;92.19
68.0;5.3;97.6
69.0;5.65;103.35
70.0;5.83;109.29
71.0;6.06;115.46
72.0;6.18;121.74
73.0;6.41;128.26
74.0;6.62;134.98
75.0;6.88;141.96
76.0;7.02;149.09
77.0;7.27;156.47
78.0;7.42;163.99
79.0;7.66;171.75
80.0;7.78;179.64
81.0;8.0;187.74
82.0;8.1;195.95
83.0;8.44;204.49
84.0;8.54;213.14
85.0;8.73;221.98
86.0;8.85;230.94
87.0;9.08;240.13
88.0;9.21;249.45
89.0;9.4;258.95
90.0;9.47;268.53
91.0;9.63;278.27
92.0;9.77;288.15
93.0;9.91;298.16
94.0;9.97;308.24
95.0;10.1;318.46
96.0;10.17;328.73
97.0;10.29;339.12
98.0;10.34;349.57
99.0;10.43;360.11
100.0;10.51;370.73
101.0;10.6;381.43
102.0;10.64;392.18
