GRAND_ID: 7309
DAM_NAME: -114.732811
LONG: -114.732811
LAT: 42.210407
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.09;0.27
2.0;0.22;0.67
3.0;0.31;1.15
4.0;0.55;1.88
5.0;0.81;2.87
6.0;1.16;4.2
7.0;1.47;5.85
8.0;1.98;8.01
9.0;2.38;10.57
10.0;3.33;14.08
11.0;4.24;18.49
12.0;5.25;23.91
13.0;6.17;30.26
14.0;7.25;37.69
15.0;8.01;45.87
16.0;9.09;55.15
17.0;9.88;65.2
18.0;10.86;76.24
19.0;11.54;87.95
20.0;12.27;100.4
21.0;12.84;113.42
22.0;13.54;127.13
23.0;14.01;141.32
24.0;14.64;156.14
25.0;15.05;171.36
26.0;15.51;187.05
27.0;15.88;203.1
28.0;16.21;219.48
