GRAND_ID: 1889
DAM_NAME: -85.610417
LONG: -85.610417
LAT: 33.260829
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.23
2.0;0.11;0.52
3.0;0.15;0.86
4.0;0.22;1.26
5.0;0.25;1.7
6.0;0.32;2.21
7.0;0.37;2.76
8.0;0.42;3.37
9.0;0.47;4.02
10.0;0.53;4.74
11.0;0.62;5.54
12.0;0.75;6.48
13.0;0.84;7.5
14.0;1.0;8.69
15.0;1.14;10.02
16.0;1.62;11.82
17.0;2.04;14.04
18.0;2.92;17.15
19.0;3.63;20.96
20.0;4.66;25.81
21.0;5.44;31.43
22.0;6.44;38.05
23.0;7.25;45.49
24.0;8.6;54.27
25.0;9.7;64.16
26.0;11.92;76.26
27.0;13.83;90.28
28.0;16.51;106.97
29.0;18.83;125.98
30.0;22.45;148.62
31.0;24.87;173.67
32.0;28.01;201.87
33.0;30.14;232.19
34.0;32.79;265.16
35.0;34.76;300.11
36.0;37.2;337.49
37.0;38.93;376.6
38.0;40.94;417.73
39.0;42.1;460.01
