GRAND_ID: 2347
DAM_NAME: -71.653279
LONG: -71.653279
LAT: -43.109178
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.08;0.23
2.0;0.2;0.58
3.0;0.31;1.03
4.0;0.37;1.55
5.0;0.5;2.2
6.0;0.6;2.94
7.0;0.76;3.85
8.0;0.94;4.94
9.0;1.78;6.86
10.0;2.46;9.47
11.0;3.13;12.74
12.0;3.43;16.32
13.0;4.27;20.73
14.0;4.67;25.54
15.0;5.3;30.99
16.0;5.97;37.1
17.0;7.44;44.69
18.0;7.99;52.83
19.0;8.79;61.76
20.0;9.41;71.32
21.0;10.4;81.86
22.0;10.68;92.68
23.0;11.21;104.04
24.0;11.8;115.99
25.0;12.54;128.67
26.0;13.05;141.86
27.0;13.78;155.79
28.0;14.11;170.04
29.0;15.01;185.2
30.0;15.55;200.9
31.0;16.19;217.23
32.0;16.56;233.93
33.0;17.58;251.65
34.0;18.25;270.05
35.0;19.22;289.42
36.0;19.29;308.85
37.0;20.39;329.39
38.0;20.73;350.26
39.0;22.25;372.66
40.0;22.25;395.06
41.0;23.78;418.98
42.0;24.16;443.29
43.0;25.32;468.75
44.0;25.57;494.46
45.0;26.93;521.54
46.0;27.39;549.07
47.0;28.71;577.92
48.0;28.94;607.0
49.0;30.11;637.26
50.0;30.73;668.13
51.0;31.85;700.13
52.0;32.07;732.34
53.0;33.51;765.99
54.0;33.88;800.01
55.0;35.39;835.54
56.0;35.56;871.24
57.0;37.44;908.83
58.0;38.1;947.07
59.0;39.93;987.15
60.0;40.13;1027.42
61.0;42.08;1069.64
62.0;43.15;1112.94
63.0;45.13;1158.21
64.0;45.36;1203.72
65.0;47.53;1251.4
66.0;48.17;1299.71
67.0;50.86;1350.71
68.0;50.86;1401.71
69.0;53.05;1454.9
70.0;53.66;1508.7
71.0;55.59;1564.44
72.0;55.97;1620.56
73.0;57.82;1678.52
74.0;58.59;1737.26
75.0;60.62;1798.02
76.0;61.01;1859.17
77.0;63.01;1922.32
78.0;63.71;1986.17
79.0;65.73;2052.05
80.0;65.73;2117.92
81.0;67.47;2185.53
82.0;67.96;2253.64
83.0;69.46;2323.24
84.0;69.59;2392.98
85.0;70.97;2464.09
86.0;71.63;2535.87
87.0;72.89;2608.9
88.0;73.01;2682.05
89.0;74.14;2756.34
90.0;74.61;2831.1
91.0;75.9;2907.15
92.0;76.07;2983.36
93.0;77.3;3060.8
94.0;77.59;3138.53
95.0;78.71;3217.39
96.0;78.95;3296.49
97.0;79.98;3376.61
98.0;80.41;3457.17
99.0;81.53;3538.84
100.0;81.68;3620.66
101.0;82.63;3703.43
102.0;83.08;3786.66
103.0;84.07;3870.88
104.0;84.62;3955.64
105.0;85.29;4041.07
106.0;85.84;4127.06
107.0;86.65;4213.86
108.0;87.22;4301.23
109.0;88.03;4389.4
110.0;88.56;4478.11
111.0;89.46;4567.71
112.0;89.88;4657.74
113.0;90.5;4748.38
114.0;91.03;4839.56
115.0;92.12;4931.82
116.0;92.46;5024.42
117.0;93.18;5117.74
118.0;93.67;5211.56
119.0;94.67;5306.38
120.0;95.09;5401.61
121.0;95.74;5497.49
122.0;96.26;5593.9
123.0;96.97;5691.01
124.0;97.41;5788.57
125.0;97.94;5886.66
126.0;98.35;5985.15
127.0;99.09;6084.39
128.0;99.45;6183.99
129.0;99.94;6284.07
130.0;100.33;6384.55
131.0;101.04;6485.74
132.0;101.42;6587.3
133.0;102.08;6689.53
134.0;102.56;6792.23
135.0;103.15;6895.53
136.0;103.5;6999.17
137.0;103.98;7103.29
138.0;104.47;7207.91
139.0;105.04;7313.09
140.0;105.34;7418.58
141.0;105.75;7524.48
142.0;106.0;7630.62
143.0;106.49;7737.25
144.0;106.77;7844.17
145.0;107.17;7951.48
146.0;107.42;8059.05
147.0;107.9;8167.1
148.0;108.29;8275.53
149.0;108.57;8384.24
150.0;108.92;8493.31
151.0;109.4;8602.86
152.0;109.66;8712.66
153.0;109.94;8822.74
154.0;110.11;8933.0
155.0;110.41;9043.55
156.0;110.57;9154.27
157.0;110.84;9265.25
158.0;111.05;9376.45
159.0;111.45;9488.05
160.0;111.62;9599.81
161.0;111.88;9711.84
162.0;112.14;9824.12
163.0;112.47;9936.73
164.0;112.56;10049.44
165.0;112.77;10162.35
166.0;112.9;10275.39
167.0;113.17;10388.71
168.0;113.33;10502.18
169.0;113.45;10615.78
170.0;113.57;10729.49
171.0;113.92;10843.56
172.0;114.0;10957.7
173.0;114.19;11072.04
174.0;114.34;11186.53
175.0;114.59;11301.26
176.0;114.71;11416.12
177.0;114.89;11531.16
178.0;114.99;11646.3
179.0;115.25;11761.69
180.0;115.35;11877.18
181.0;115.49;11992.82
182.0;115.63;12108.59
183.0;115.82;12224.55
184.0;115.92;12340.62
185.0;116.05;12456.81
186.0;116.14;12573.1
187.0;116.27;12689.51
188.0;116.37;12806.03
189.0;116.43;12922.6
190.0;116.48;13039.23
191.0;116.63;13156.01
192.0;116.65;13272.8
193.0;116.7;13389.64
194.0;116.75;13506.53
195.0;116.81;13623.48
196.0;116.82;13740.45
197.0;116.89;13857.48
198.0;116.94;13974.57
199.0;116.97;14091.68
200.0;117.0;14208.83
201.0;117.05;14326.02
202.0;117.06;14443.23
