GRAND_ID: 3525
DAM_NAME: 9.254823
LONG: 9.254823
LAT: 39.606456
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.13
2.0;0.04;0.28
3.0;0.05;0.45
4.0;0.07;0.64
5.0;0.09;0.85
6.0;0.12;1.09
7.0;0.13;1.34
8.0;0.16;1.62
9.0;0.18;1.92
10.0;0.21;2.25
11.0;0.26;2.62
12.0;0.33;3.07
13.0;0.44;3.63
14.0;0.8;4.54
15.0;1.22;5.88
16.0;1.85;7.86
17.0;2.24;10.21
18.0;2.52;12.85
19.0;2.65;15.61
20.0;2.77;18.5
21.0;2.84;21.46
22.0;2.9;24.48
23.0;2.93;27.53
24.0;2.96;30.61
25.0;2.98;33.71
26.0;3.02;36.85
27.0;3.03;40.0
28.0;3.06;43.17
29.0;3.07;46.36
30.0;3.09;49.57
31.0;3.1;52.79
32.0;3.13;56.03
33.0;3.14;59.29
34.0;3.15;62.55
35.0;3.15;65.83
36.0;3.16;69.11
37.0;3.17;72.4
38.0;3.18;75.7
39.0;3.19;79.01
40.0;3.2;82.33
41.0;3.21;85.66
42.0;3.21;88.99
43.0;3.22;92.32
44.0;3.23;95.67
45.0;3.23;99.02
46.0;3.23;102.37
47.0;3.24;105.72
48.0;3.24;109.08
