GRAND_ID: 4499
DAM_NAME: 37.585347
LONG: 37.585347
LAT: -0.881295
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.3;0.45
2.0;0.47;1.08
3.0;1.43;2.66
4.0;2.09;4.9
5.0;4.21;9.26
6.0;5.16;14.57
7.0;7.8;22.53
8.0;8.91;31.59
9.0;10.77;42.51
10.0;12.0;54.66
11.0;13.8;68.62
12.0;15.1;83.87
13.0;16.63;100.65
14.0;18.18;118.98
15.0;20.06;139.19
16.0;21.51;160.86
17.0;23.36;184.37
18.0;24.77;209.3
19.0;27.78;237.23
20.0;29.78;267.16
21.0;32.61;299.92
22.0;35.18;335.26
23.0;38.05;373.46
24.0;40.91;414.52
25.0;44.02;458.7
26.0;47.33;506.18
27.0;51.49;557.82
28.0;55.08;613.05
29.0;60.22;673.43
30.0;63.66;737.24
31.0;67.78;805.18
32.0;70.79;876.12
33.0;74.57;950.84
34.0;78.16;1029.16
35.0;82.03;1111.34
36.0;85.06;1196.56
37.0;89.1;1285.81
38.0;92.39;1378.35
39.0;96.57;1475.07
40.0;99.93;1575.15
41.0;104.52;1679.82
42.0;108.25;1788.22
43.0;112.53;1900.91
44.0;115.97;2017.03
45.0;119.86;2137.05
46.0;122.69;2259.89
47.0;125.4;2385.43
48.0;127.4;2512.98
49.0;129.35;2642.48
50.0;130.48;2773.12
