GRAND_ID: 6757
DAM_NAME: Nihotupu Auxiliary Dam
LONG: 174.55625
LAT: -36.929583
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
0.5;0.0;0.0
1.0;0.0;0.0
1.5;0.0;0.0
2.0;0.0;0.0
2.5;0.0;0.0
3.0;0.0;0.0
3.5;0.0;0.0
4.0;0.01;0.0
4.5;0.01;0.0
5.0;0.01;0.0
5.5;0.01;0.0
6.0;0.01;0.01
6.5;0.01;0.01
7.0;0.02;0.01
7.5;0.02;0.01
8.0;0.02;0.01
8.5;0.02;0.01
9.0;0.02;0.02
9.5;0.02;0.02
10.0;0.03;0.02
10.5;0.03;0.02
11.0;0.03;0.03
11.5;0.03;0.03
12.0;0.04;0.03
12.5;0.04;0.04
13.0;0.05;0.04
13.5;0.05;0.05
14.0;0.05;0.05
14.5;0.05;0.06
15.0;0.06;0.06
15.5;0.06;0.07
16.0;0.06;0.07
16.5;0.06;0.08
17.0;0.06;0.09
17.5;0.06;0.09
18.0;0.06;0.1
18.5;0.06;0.1
19.0;0.06;0.11
19.5;0.06;0.12
20.0;0.06;0.12
20.5;0.06;0.13
21.0;0.07;0.14
21.5;0.07;0.14
22.0;0.07;0.15
22.5;0.07;0.16
23.0;0.07;0.16
23.5;0.07;0.17
24.0;0.07;0.18
24.5;0.07;0.18
25.0;0.07;0.19
25.5;0.07;0.2
26.0;0.07;0.2
26.5;0.07;0.21
27.0;0.07;0.22
27.5;0.07;0.23
28.0;0.07;0.23
28.5;0.07;0.24
29.0;0.07;0.25
29.5;0.07;0.26
30.0;0.07;0.26
30.5;0.07;0.27
31.0;0.08;0.28
31.5;0.08;0.29
32.0;0.08;0.29
32.5;0.08;0.3
33.0;0.08;0.31
33.5;0.08;0.32
34.0;0.08;0.32
34.5;0.08;0.33
35.0;0.08;0.34
35.5;0.08;0.35
36.0;0.08;0.36
36.5;0.08;0.36
37.0;0.08;0.37
37.5;0.08;0.38
38.0;0.08;0.39
38.5;0.08;0.4
39.0;0.08;0.41
39.5;0.08;0.41
40.0;0.09;0.42
40.5;0.09;0.43
41.0;0.09;0.44
41.5;0.09;0.45
42.0;0.09;0.46
42.5;0.09;0.47
43.0;0.09;0.47
43.5;0.09;0.48
44.0;0.09;0.49
44.5;0.09;0.5
45.0;0.09;0.51
45.5;0.09;0.52
46.0;0.09;0.53
46.5;0.09;0.53
47.0;0.09;0.54
47.5;0.09;0.55
48.0;0.09;0.56
48.5;0.09;0.57
49.0;0.09;0.58
49.5;0.09;0.59
50.0;0.09;0.6
50.5;0.09;0.6
51.0;0.09;0.61
51.5;0.09;0.62
52.0;0.09;0.63
52.5;0.09;0.64
53.0;0.09;0.65
53.5;0.09;0.66
54.0;0.09;0.67
54.5;0.09;0.67
55.0;0.09;0.68
55.5;0.09;0.69
56.0;0.09;0.7
56.5;0.09;0.71
57.0;0.09;0.72
57.5;0.09;0.73
58.0;0.09;0.74
58.5;0.09;0.75
59.0;0.09;0.75
59.5;0.09;0.76
60.0;0.09;0.77
60.5;0.09;0.78
61.0;0.09;0.79
61.5;0.09;0.8
62.0;0.09;0.81
62.5;0.09;0.82
63.0;0.09;0.82
63.5;0.09;0.83
64.0;0.09;0.84
64.5;0.09;0.85
65.0;0.09;0.86
65.5;0.09;0.87
66.0;0.09;0.88
66.5;0.09;0.89
67.0;0.09;0.9
67.5;0.09;0.9
68.0;0.09;0.91
68.5;0.09;0.92
69.0;0.09;0.93
69.5;0.09;0.94
70.0;0.09;0.95
70.5;0.09;0.96
71.0;0.09;0.97
71.5;0.09;0.98
72.0;0.09;0.99
72.5;0.09;0.99
