GRAND_ID: 6768
DAM_NAME: Raymond
LONG: 176.23875
LAT: -37.85125
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
0.5;0.0;0.0
1.0;0.0;0.0
1.5;0.0;0.0
2.0;0.01;0.0
2.5;0.01;0.0
3.0;0.01;0.0
3.5;0.01;0.0
4.0;0.01;0.0
4.5;0.01;0.01
5.0;0.01;0.01
5.5;0.01;0.01
6.0;0.01;0.01
6.5;0.01;0.01
7.0;0.02;0.01
7.5;0.02;0.01
8.0;0.02;0.02
8.5;0.02;0.02
9.0;0.03;0.02
9.5;0.03;0.03
10.0;0.04;0.03
10.5;0.04;0.03
11.0;0.04;0.04
11.5;0.04;0.04
12.0;0.05;0.05
12.5;0.05;0.05
13.0;0.06;0.06
13.5;0.06;0.06
14.0;0.06;0.07
14.5;0.06;0.08
15.0;0.06;0.08
15.5;0.06;0.09
16.0;0.07;0.1
16.5;0.07;0.1
17.0;0.08;0.11
17.5;0.08;0.12
18.0;0.08;0.13
18.5;0.08;0.13
19.0;0.08;0.14
19.5;0.08;0.15
20.0;0.08;0.16
20.5;0.08;0.17
21.0;0.09;0.17
21.5;0.09;0.18
22.0;0.09;0.19
22.5;0.09;0.2
23.0;0.09;0.21
23.5;0.09;0.22
24.0;0.09;0.23
24.5;0.09;0.24
25.0;0.09;0.25
25.5;0.09;0.26
26.0;0.09;0.26
26.5;0.09;0.27
27.0;0.09;0.28
27.5;0.09;0.29
28.0;0.09;0.3
28.5;0.09;0.31
