GRAND_ID: 6793
DAM_NAME: Lower Karori
LONG: 174.752083
LAT: -41.29125
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
0.5;0.0;0.0
1.0;0.0;0.0
1.5;0.0;0.0
2.0;0.01;0.0
2.5;0.01;0.0
3.0;0.01;0.0
3.5;0.01;0.0
4.0;0.01;0.01
4.5;0.01;0.01
5.0;0.02;0.01
5.5;0.02;0.01
6.0;0.02;0.01
6.5;0.02;0.01
7.0;0.02;0.02
7.5;0.02;0.02
8.0;0.02;0.02
8.5;0.02;0.02
9.0;0.03;0.03
9.5;0.03;0.03
10.0;0.04;0.03
10.5;0.04;0.04
11.0;0.04;0.04
11.5;0.04;0.04
12.0;0.04;0.05
12.5;0.04;0.05
13.0;0.04;0.06
13.5;0.04;0.06
14.0;0.04;0.06
14.5;0.04;0.07
15.0;0.04;0.07
15.5;0.04;0.08
16.0;0.05;0.08
16.5;0.05;0.09
17.0;0.05;0.09
17.5;0.05;0.1
18.0;0.05;0.1
18.5;0.05;0.11
19.0;0.05;0.11
19.5;0.05;0.12
20.0;0.05;0.12
20.5;0.05;0.13
21.0;0.05;0.13
21.5;0.05;0.14
22.0;0.05;0.14
22.5;0.05;0.15
23.0;0.05;0.15
23.5;0.05;0.16
24.0;0.06;0.16
24.5;0.06;0.17
25.0;0.06;0.18
25.5;0.06;0.18
