GRAND_ID: 7120
DAM_NAME: KoprubasA
LONG: 31.910323
LAT: 40.989528
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.16
2.0;0.09;0.37
3.0;0.15;0.65
4.0;0.25;1.03
5.0;0.32;1.47
6.0;0.44;2.03
7.0;0.47;2.63
8.0;0.57;3.33
9.0;0.62;4.07
10.0;0.73;4.92
11.0;0.76;5.81
12.0;0.91;6.84
13.0;0.97;7.93
14.0;1.08;9.13
15.0;1.16;10.42
16.0;1.25;11.79
17.0;1.3;13.22
18.0;1.4;14.74
19.0;1.46;16.33
20.0;1.54;18.0
21.0;1.59;19.71
22.0;1.67;21.5
23.0;1.71;23.34
24.0;1.82;25.28
25.0;1.88;27.28
26.0;1.98;29.38
27.0;2.03;31.53
28.0;2.12;33.77
29.0;2.17;36.07
30.0;2.28;38.47
31.0;2.33;40.93
32.0;2.43;43.49
33.0;2.47;46.09
34.0;2.57;48.78
35.0;2.64;51.55
36.0;2.76;54.43
37.0;2.83;57.38
38.0;2.91;60.42
39.0;2.97;63.52
40.0;3.06;66.7
41.0;3.12;69.94
42.0;3.21;73.27
43.0;3.24;76.64
44.0;3.31;80.08
45.0;3.37;83.57
