sensor,date,cloud_percentage,quality_flag,raw_area,pre_filtering_area_km2,post_filtering_area_km2,water_level_m,post_filtering_storage_mcm
landsat,2016-01-11,52.04,0,98.87,153.52,162.94,1324.02,255.34
landsat,2016-02-11,4.96,1,1340.63,274.0,293.44,1329.05,1205.3
sentinel,2016-02-22,0.06,1,325.1,250.99,273.21,1325.16,402.7
landsat,2016-02-29,0.78,1,249.77,261.29,277.02,1325.69,508.09
landsat,2016-03-11,24.38,1,58.33,188.96,225.69,1324.58,321.26
landsat,2016-03-22,4.49,1,255.98,261.01,282.11,1326.45,663.0
sentinel,2016-03-22,4.25,1,307.18,269.62,281.71,1326.39,649.95
landsat,2016-03-31,51.54,0,26.61,153.94,170.56,1324.09,263.35
landsat,2016-04-11,8.23,1,226.78,256.24,286.11,1327.13,801.17
landsat,2016-04-22,0.0,1,273.0,275.87,285.25,1326.95,765.39
landsat,2016-05-22,50.7,0,36.38,156.09,165.82,1324.04,258.37
sentinel,2016-05-22,6.4,1,187.88,249.6,281.35,1326.33,638.21
landsat,2016-05-31,0.35,1,256.52,271.6,278.63,1325.91,552.62
landsat,2016-06-11,0.09,1,228.37,236.51,266.2,1324.95,363.82
sentinel,2016-06-11,0.0,1,269.15,266.09,272.8,1325.11,391.36
landsat,2016-06-22,11.04,1,208.75,230.64,264.0,1324.93,361.51
landsat,2016-06-30,0.09,1,234.47,245.94,256.57,1324.86,353.7
sentinel,2016-06-30,0.0,1,238.98,239.59,249.73,1324.8,346.52
landsat,2016-07-11,0.49,1,223.85,237.49,252.11,1324.82,349.02
landsat,2016-07-22,0.64,1,182.65,217.15,234.61,1324.66,330.63
sentinel,2016-07-22,9.01,1,181.26,191.85,215.49,1324.49,310.55
landsat,2016-07-31,2.56,1,80.07,197.92,230.31,1324.62,326.12
landsat,2016-08-11,0.69,1,155.59,197.76,220.75,1324.54,316.07
sentinel,2016-08-11,0.0,0,164.49,178.2,198.21,1324.34,292.4
landsat,2016-08-22,0.94,1,130.27,189.82,219.83,1324.53,315.11
landsat,2016-08-31,0.83,1,101.66,179.62,215.5,1324.49,310.56
sentinel,2016-08-31,0.0,0,133.77,159.28,202.82,1324.38,297.24
landsat,2016-09-22,0.06,1,102.81,180.04,234.46,1324.66,330.48
sentinel,2016-09-22,8.57,0,87.63,141.87,186.68,1324.23,280.28
landsat,2016-09-30,0.05,1,36.09,167.33,215.53,1324.49,310.59
landsat,2016-10-11,43.58,0,2.74,155.94,188.21,1324.25,281.89
landsat,2016-11-11,0.98,1,143.39,197.38,238.44,1324.7,334.66
landsat,2016-11-22,21.65,1,23.69,177.17,221.16,1324.54,316.51
landsat,2016-12-11,50.84,0,35.8,156.18,184.99,1324.22,278.51
landsat,2016-12-22,10.52,1,942.04,270.82,287.27,1327.38,854.8
landsat,2017-02-22,51.72,0,194.79,152.84,158.03,1323.97,250.19
landsat,2017-03-11,20.13,1,449.61,242.31,290.23,1328.05,994.85
sentinel,2017-03-22,53.12,0,14.66,151.9,158.25,1323.98,250.42
landsat,2017-04-11,9.24,1,176.81,264.04,288.7,1327.7,920.92
sentinel,2017-04-11,0.0,1,298.28,286.32,290.52,1328.14,1013.7
sentinel,2017-04-22,6.1,1,285.09,267.15,292.24,1328.67,1125.52
landsat,2017-05-11,4.27,1,216.6,270.76,291.45,1328.43,1074.16
landsat,2017-05-22,53.09,0,0.16,151.38,156.24,1323.96,248.31
landsat,2017-06-11,17.95,1,92.44,208.4,246.8,1324.77,343.44
landsat,2017-06-22,0.65,1,147.72,257.91,282.35,1326.49,670.82
sentinel,2017-06-22,0.0,1,285.4,279.9,285.88,1327.07,790.53
landsat,2017-06-30,0.0,1,275.1,277.7,283.49,1326.67,708.0
landsat,2017-07-11,0.22,1,262.92,273.57,279.81,1326.09,587.99
sentinel,2017-07-11,0.0,1,281.49,276.75,282.86,1326.57,687.45
landsat,2017-07-22,0.0,1,271.68,274.82,280.57,1326.21,612.77
sentinel,2017-07-22,0.0,1,280.22,275.56,282.2,1326.47,665.93
landsat,2017-07-31,9.87,1,203.2,232.18,273.93,1325.26,422.61
sentinel,2017-07-31,0.0,1,268.59,264.5,274.88,1325.39,448.89
landsat,2017-08-11,12.24,1,244.27,252.12,267.24,1324.96,364.91
sentinel,2017-08-11,0.0,1,264.33,261.06,272.22,1325.03,375.32
sentinel,2017-08-22,0.0,1,256.04,247.33,258.58,1324.88,355.82
sentinel,2017-08-31,0.0,1,250.84,240.15,253.14,1324.83,350.1
landsat,2017-09-11,25.63,1,238.4,222.54,238.02,1324.69,334.22
sentinel,2017-09-11,49.29,0,24.73,133.88,157.64,1323.97,249.78
landsat,2017-09-30,43.3,1,48.63,162.93,184.44,1324.21,277.93
sentinel,2017-09-30,0.0,1,221.74,222.65,237.68,1324.69,333.86
landsat,2017-10-11,0.1,1,238.01,231.65,250.65,1324.81,347.49
sentinel,2017-10-11,0.0,1,229.0,223.86,240.16,1324.71,336.47
landsat,2017-10-22,39.0,0,28.64,160.97,190.39,1324.27,284.18
sentinel,2017-10-22,0.0,1,234.45,226.6,253.45,1324.83,350.43
landsat,2017-10-31,0.03,1,234.61,244.29,263.74,1324.93,361.24
sentinel,2017-10-31,49.88,0,3.11,152.68,157.84,1323.97,249.99
landsat,2017-11-11,0.71,1,242.92,264.75,277.98,1325.82,534.64
sentinel,2017-11-11,11.95,1,308.83,218.54,260.2,1324.89,357.52
landsat,2017-11-22,22.49,1,136.7,197.82,277.17,1325.71,512.23
sentinel,2017-11-22,0.0,1,272.57,266.04,274.92,1325.4,450.0
landsat,2017-11-30,44.16,1,3.05,165.07,192.71,1324.29,286.62
landsat,2017-12-11,35.75,1,627.8,174.75,231.84,1324.64,327.73
landsat,2017-12-22,4.49,1,268.28,273.24,292.37,1328.71,1133.97
sentinel,2017-12-22,1.69,1,300.52,232.47,285.81,1327.06,787.3
landsat,2017-12-31,4.92,1,924.34,287.67,292.66,1328.8,1152.83
landsat,2018-01-11,18.98,1,162.81,226.04,288.75,1327.71,923.23
sentinel,2018-01-11,0.85,1,365.88,189.12,270.63,1324.99,368.47
landsat,2018-01-22,24.49,1,85.1,206.6,250.94,1324.81,347.79
sentinel,2018-01-22,0.0,1,306.94,277.12,286.54,1327.22,821.05
sentinel,2018-01-31,30.39,1,157.56,175.24,208.79,1324.43,303.51
landsat,2018-02-11,27.72,1,66.79,191.73,290.24,1328.06,995.5
sentinel,2018-02-11,2.56,1,410.18,269.2,285.88,1327.07,790.53
landsat,2018-02-22,50.91,0,4.94,156.32,177.91,1324.15,271.07
sentinel,2018-02-22,30.08,1,164.14,196.36,225.61,1324.58,321.18
landsat,2018-03-11,15.88,1,176.18,235.2,291.0,1328.29,1044.91
sentinel,2018-03-11,0.0,1,277.99,248.62,292.41,1328.72,1136.57
sentinel,2018-03-22,0.0,1,302.98,281.98,288.77,1327.71,924.16
landsat,2018-03-31,27.65,1,74.72,202.05,249.58,1324.8,346.36
sentinel,2018-03-31,0.0,1,299.63,286.36,291.13,1328.33,1053.36
landsat,2018-04-11,3.17,1,229.46,283.23,292.54,1328.76,1145.03
sentinel,2018-04-11,53.42,0,2.83,151.2,155.02,1323.95,247.02
landsat,2018-04-22,53.05,1,66.29,138.8,285.29,1326.96,766.7
sentinel,2018-04-22,0.0,1,302.73,288.05,292.66,1328.8,1152.83
landsat,2018-04-30,25.87,1,145.51,203.81,292.58,1328.77,1147.63
sentinel,2018-04-30,0.0,1,298.59,287.07,291.65,1328.49,1087.16
landsat,2018-05-11,31.73,1,125.91,192.41,220.13,1324.53,315.42
sentinel,2018-05-11,0.0,1,308.15,284.99,290.64,1328.18,1021.5
landsat,2018-05-22,13.44,1,206.42,224.52,281.96,1326.43,658.1
sentinel,2018-05-22,19.96,1,190.64,203.9,224.53,1324.57,320.05
landsat,2018-05-31,0.53,1,273.32,275.72,283.59,1326.69,711.26
sentinel,2018-05-31,0.0,1,286.42,280.99,287.17,1327.36,850.18
landsat,2018-06-11,0.12,1,264.46,275.37,283.11,1326.61,695.61
landsat,2018-06-22,1.29,1,271.5,274.74,283.43,1326.66,706.04
sentinel,2018-06-30,0.0,1,283.81,278.17,285.05,1326.92,758.87
landsat,2018-07-11,9.39,1,223.87,244.59,275.76,1325.52,473.23
sentinel,2018-07-11,0.0,1,280.39,275.3,282.57,1326.53,678.0
landsat,2018-07-22,8.58,1,177.35,233.38,275.26,1325.45,459.4
sentinel,2018-07-22,0.0,1,272.8,268.25,276.65,1325.64,497.85
landsat,2018-07-31,0.13,1,249.34,262.72,270.92,1324.99,368.78
